task,task_label,item_id,item_label,base_prompt,axis,axis_definition
essay,Essay writing,Childhood vaccination should be required for public school enrollment,Childhood vaccination should be required for public school enrollment,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Cities should cap the number of short-term rental listings,Cities should cap the number of short-term rental listings,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Cities should expand bike-lane networks at the expense of street parking,Cities should expand bike-lane networks at the expense of street parking,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Cities should offer free public transit during pollution alerts,Cities should offer free public transit during pollution alerts,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Cities should prioritize public transit over highway expansion,Cities should prioritize public transit over highway expansion,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,College athletes should be paid for their work,College athletes should be paid for their work,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Companies should adopt four-day work weeks where feasible,Companies should adopt four-day work weeks where feasible,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Companies should disclose the carbon footprint of their products,Companies should disclose the carbon footprint of their products,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Employers should offer paid family leave,Employers should offer paid family leave,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Gig-economy workers should be classified as employees,Gig-economy workers should be classified as employees,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Governments should invest more in high-speed rail,Governments should invest more in high-speed rail,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Governments should regulate facial-recognition technology in public spaces,Governments should regulate facial-recognition technology in public spaces,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Governments should significantly increase space exploration funding,Governments should significantly increase space exploration funding,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,High schools should start the day later to match teenage sleep patterns,High schools should start the day later to match teenage sleep patterns,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Libraries remain more important than ever in the digital age,Libraries remain more important than ever in the digital age,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Local news outlets should receive public funding,Local news outlets should receive public funding,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,National parks should limit daily visitor numbers to protect ecosystems,National parks should limit daily visitor numbers to protect ecosystems,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Nutrition labels should appear on restaurant menus,Nutrition labels should appear on restaurant menus,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Programming should be a mandatory subject in K-12 education,Programming should be a mandatory subject in K-12 education,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Public museums should be free to all visitors,Public museums should be free to all visitors,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Public parks should replace some lawns with native plants,Public parks should replace some lawns with native plants,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Remote work should become the default for most companies,Remote work should become the default for most companies,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Schools should ban smartphones during instructional hours,Schools should ban smartphones during instructional hours,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Schools should teach financial literacy starting in middle school,Schools should teach financial literacy starting in middle school,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Single-use plastics should be phased out nationwide,Single-use plastics should be phased out nationwide,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Social media platforms should verify the age of their users,Social media platforms should verify the age of their users,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Universities should make tuition free for low-income students,Universities should make tuition free for low-income students,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Universities should reduce reliance on standardized test scores in admissions,Universities should reduce reliance on standardized test scores in admissions,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Voting should be made mandatory for all eligible citizens,Voting should be made mandatory for all eligible citizens,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
essay,Essay writing,Workplaces should give employees the right to disconnect after hours,Workplaces should give employees the right to disconnect after hours,,essay_quality,"Which essay is better written, more compelling, clearer, and better structured?"
grant_proposal_abstract,Grant abstract,0,offline-first appointment reminders for rural clinics,"Write a 500-700 word grant proposal abstract for a project on offline-first appointment reminders for rural clinics. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
grant_proposal_abstract,Grant abstract,1,low-cost heat alerts for older adults living alone,"Write a 500-700 word grant proposal abstract for a project on low-cost heat alerts for older adults living alone. Include problem, approach, evaluation plan, feasibility, risks, and expected impact. Output only the abstract.",grant_proposal_quality,"Which proposal abstract is clearer, more feasible, better motivated, more specific, and more compelling?"
